ser,country,q101,q102,q103,q2011,q2012,q2013,q2014,q2015,q202,q204,q205,q206,q207,q210,q211,q212,q2131,q2132,q2133,q2134,q2135,q214,q215,q216,q217,q219,q221,q222,q224,q2251,q2252,q226,q227,q228,q2301,q2302,q2311,q2312,q2321,q2322,q2323,q2324,q234,q235,q236,q237,q238,q239,q240,q241,q242,q243,q244,q2451,q2452,q2453,q2454,q2461,q2462,q2463,q2464,q2471,q2472,q2473,q2474,q2475,q2476,q248withoutpalestine,q248donlypalestine,q249withoutpalestine,q249onlypalestine,q2501,q2502,q2511,q2512,q2513,q2514,q252,q253,q254,q2551,q2552,q2553,q2554,q2561,q2562,q2563,q2564,q2565,q2571,q2572,q301,q3021,q3022,q3031,q3032,q3033,q304,q305,q306,q4011,q4012,q4013,q4014,q4021,q4022,q4023,q501,q5021,q5022,q5023,q5024,q5025,q5026,q503,q5041,q5042,q5043,q5044,q5045,q5046,q5051,q5052,q5053,q5054,q5055,q5056,q5057,q5061,q5062,q5063,q5071,q5072,q5073,q5074,q5075,q601,q602,q6031,q6032,q6033,q6034,q6035,q604,q605,q606,q607,q608,q609,q610,q611,q612,q6131,q6132,q6133,q701,q701agecategories,q702,q703,q703dichotomous,q704,q705,q706,q707,q708,q709,q710,q711,q712,q713,q714,q714a,q715withoutmorocco,q716withoutmorocco,V715onlymorocco,V716onlymorocco,q715incomedeciles,q716incomedeciles,q717
1124,1,1,1,1,1,1,3,1,3,2,1,1,1,2,2,2,1,1,5,2,2,1,1,1,2,1,2,3,2,5,2,1,2, ,1,3,3,2,4,2,4,2,4,3,4,3,8,7,8,6,5,7,7,6,1,2,3,2,3,2,4,1,4,3,2,1,3,3,1,100,2,100,4,2,1,2,2,2,3,3,3,2,3,2,1,1,2,4,2,1,2,1,1,1,3,2,1,2,3,3,1,2,3,2,1,1,2,2,1,2,1,1,1,1,1,6,1,2,3,2,3,1,1,2,3,2,3,1,2,1,2,1,1,2,3,2,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,2, ,1,1,1,18,1,2,4,1,2,3, , , ,1, ,1,3,2, ,3,9999999,180,100,100, ,3,1
828,1,1,1,1,1,2,2,1,3,2,1,2,3,2,2,98,98,1,5,1,1,2,1,3,3,3,3,2,2,1,2,1,1,4,1,3,3,4,3,4,1,2,1,98,98,98,95,98,98,95,98,5,6,8,2,4,2,2,2,4,4,4,1,1,1,1,1,1,98,100, ,100, , ,4,1,4,4,2,2,1,1,1,1,1,1,2,1,1,1,98,98,1,1,6,2,2,2,1,5,1,1,3,3,1,2,1,1,1,1,1,2,2,2,1,1,4,4,1,2,1,4,1,1,1,4,1,1,4,3,2,2,1,1,2,2,2,1,2,1,1,1,1,1,4,4,2,1,1,3,2,1, ,2,2,2,34,2,1,4,1,1, ,1,4,2,2,13,1,1,1,3,1,2000,2000,100,100,10,10,2
639,1,1,1,1,1,2,2,1,4,2,2,2,3,2,2,98,98,5,2,2,1,2,1,2,2,3,4,3,3,5,2,2,2, ,2,3,1,1,4,1,4,2,1,4,98,98,98,98,98,98,98,8,8,3,1,4,1,4,2,1,2,1,3,4,4,2,1,1,1,100,4,100,2,2,1,1,1,1,2,3,1,1,4,1,1,4,1,1,1,1,98,98,2,1,4,1,1,1,1,5,1,4,4,2,1,2,4,1,1,1,1,4,1,1,1,4,1,2,1,2,1,1,4,1,3,3,2,2,4,3,3,3,2,4,2,1,1,3,2,98,98,98,98,98,2,2,4,1,1,2,2,2, ,2,2,2,20,1,2,4,1,97,3, , , ,1, ,1,1,1,2,1,9999999,250,100,100, ,6,1
650,1,1,1,1,1,2,2,3,2,2,2,1,1,1,1,4,1,1,1,2,1,1,1,1,2,3,2,3,5,5,3,2,2, ,1,3,3,3,1,2,1,1,1,1,8,9,10,10,8,10,8,10,7,8,2,3,4,4,4,4,4,4,3,2,1,2,3,2,2,100,3,100,98,1,1,3,2,4,2,3,4,1,2,3,2,1,1,1,1,1,1,1,2,1,4,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,3,2,1,2,1,1,3,2,2,1,2,4,3,4,3,2,1,2,2,1,1,2,1,1,2,3,1,1,1,1,1,3,3,2,1,98,3,2,1, ,2,3,2,47,4,1,4,1,2,1, , , ,2,13,1,1,1,3,1,200,200,100,100,5.5,4,1
281,1,1,1,1,2,1,2,1,3,2,2,1,4,2,2,2,1,1,1,2,1,2,1,2,2,1,2,2,1,5,2,2,1,2,1,3,3,2,3,1,2,4,2,2,2,98,2,9,10,5,5,4,10,5,1,4,2,2,2,4,2,98,1,1,3,2,1,4,1,100,5,100,4, ,1,4,2,2,3,3,3,1,1,1,2,1,3,1,2,1,98,98,1,1,2,2,2,2,1,1,1,4,4,4,4,1,3,2,1,4,4,1,4,1,1,6,4,4,98,1,3,2,1,1,2,4,1,1,4,3,3,3,1,1,1,1,1,1,4,1,1,1,1,1,4,4,4,1,1,2,2,1, ,2,2,2,23,1,1,97, ,2,3, , , ,1, ,2, , , ,99,9999999,400,100,100, ,8,1
479,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,98,98,1,3,1,2,4,2,3,3,1,4,4,2,5,4,1,1,1,2,2,3,3,4,4,4,1,1,2,98,98,5,98,7,98,10,5,7,8,2,4,1,2,2,2,2,4,2,1,2,1,2,2,3,100,1,100,2,1,2,1,1,2,1,2,1,1,1,1,3,1,1,1,1,2,98,98,2,1,3,2,2,2,1,1,1,2,3,3,2,4,3,3,3,2,2,2,2,2,1,6,3,2,2,4,4,4,1,1,1,1,4,4,4,2,2,3,2,2,1,1,2,2,2,1,1,1,2,1,1,4,2,1,1,4,2,1, ,1,1,2,19,1,1,3,1,2,3, , , ,1, ,1,3,1,2,1,9999999,500,100,100, ,9,2
982,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,3,1,2,1,2,2,2,1,4,3,99,2, ,1,3,3,99,99,99,99,99,99,4,1,5,4,8,10,8,9,6,5,7,99,99,99,99,99,99,99,99,2,2,3,2,1,1,4,100,2,100,3,2,2,1,2,2,2,2,1,99,99,99,99,1,4,1,1,1,2,1,1,6,4,2,1,2,2,6,1,2,2,2,99,99,99,99,3,1,2,4,4,1,4,1,99,99,99,99,99,99,4,2,1,2,4,2,4,1,1,1,99,99,99,99,99,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99, ,99,99,99,32,2,1,4,1,1, ,1,99,99,2,3,1,2,1,1,99,280,600,100,100,8,10,1
375,1,1,1,1,2,2,3,1,2,2,1,1,1,2,2,98,98,1,1,1,1,2,2,3,2,3,98,1,5,5,2,1,2, ,1,3,3,4,2,3,4,4,2,1,98,98,98,98,98,98,98,9,9,9,2,2,2,2,99,99,99,99,2,2,1,1,2,4,1,100,2,100,3,1,2,1,2,2,2,1,1,1,1,1,2,3,4,1,3,2,1,1,1,4,1,2,2,2,1,5,1,1,4,4,2,1,4,4,2,2,2,1,1,2,1,6,99,99,99,99,99,99,2,2,2,2,2,2,4,1,3,3,1,2,2,2,4,1,2,1,1,1,1,1,2,4,2,1,1,3,1,1, ,1,1,1,30,2,1,6,1,1, ,1,12,1,2,13,1,3,1,2,3,190,190,100,100,5.5,4,1
1260,1,1,1,1,3,1,2,1,4,2,2,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,3,5,5,2,1,1,2,1,3,3,4,2,2,2,2,2,1,3,2,7,98,7,98,7,5,5,5,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,100,2,100,2,3,2,2,1,1,3,3,2,2,2,1,1,2,4,2,2,2,1,1,2,1,4,1,1,1,3,5,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,4,2,2,3,3,3,2,4,4,3,4,3,3,4,2,2,1,2,2,2,2,1,2,2,1,1,2,3,3,2,2,3,1,1,1,2,2, ,2,2,2,38,3,2,3,1,2,2, , , ,2,12,1,2,1,2,99,80,280,100,100,1,7,1
1117,1,1,1,1,3,2,1,2,4,2,1,1,2,2,2,1,1,5,2,1,1,1,1,1,1,1,2,3,5,5,3,2,1,4,1,3,3,2,4,2,3,2,2,3,6,5,10,4,10,4,8,6,6,8,2,3,3,1,1,2,3,2,4,4,4,1,1,1,1,100,2,100,2, ,1,3,2,1,3,3,3,1,2,1,4,1,2,1,1,1,1,1,2,1,6,1,1,1,4,3,1,2,1,2,1,1,2,1,3,1,1,1,1,1,1,2,2,2,1,2,1,2,4,4,3,3,2,1,1,1,1,1,2,1,2,3,3,2,3,1,1,1,1,1,1,1,1,1,2,2,2,2, ,2,1,1,29,2,1,4,1,1, ,1,12,1,2,12,1,1,1,3,1,80,280,100,100,1,7,1
1259,1,1,1,1,4,3,4,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,3,4,5,2,1,2, ,1,3,3,2,4,2,2,1,1,3,2,98,9,5,8,6,7,6,7,7,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,100,2,100,2,3,2,1,1,1,3,2,3,2,2,2,1,1,3,2,2,2,1,1,2,1,4,1,1,1,4,3,2,2,3,3,3,2,3,1,1,2,2,2,1,1,2,4,1,2,3,2,2,2,3,4,3,4,3,3,4,1,1,1,4,4,4,3,4,3,3,1,1,3,3,3,3,4,3,2,2,1,2,1, ,2,2,2,21,1,2,5,1,2,3, , , ,1, ,1,99,1,2,1,9999999,180,100,100, ,3,1
277,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,5,1,1,2, ,1,3,3,1,4,4,4,4,1,4,2,5,1,9,10,95,6,10,10,8,1,4,1,1,1,4,4,4,1,1,1,1,1,1,1,100,2,100,99,1,1,1,1,2,1,2,1,1,1,1,1,4,1,1,2,2,1,1,1,5,4,2,2,2,1,1,1,4,4,4,4,1,4,2,1,1,1,2,2,1,2,5,4,4,98,1,4,2,1,1,4,4,1,1,1,3,3,3,2,2,2,2,1,3,1,1,1,1,1,1,4,4,4,1,1,4,2,1, ,1,1,1,60,5,1,6,1,2,1, , , ,2,5,2, , , ,99,200,400,100,100,5.5,8,1
173,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,3,2,3,2,4,1,1,3,3,5,5,1,1,2, ,1,3,3,2,1,1,2,1,2,4,8,5,7,6,7,6,6,7,6,7,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,100,3,100,4,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,2,1,4,2,2,2,1,5,1,1,2,1,2,1,2,1,3,4,4,4,2,3,2, ,1,2,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1, ,1,1,1,58,5,1,3,1,2,1, , , ,2,13,1,3,1,1,1,200,200,100,100,5.5,4,1
742,1,1,1,2,1,1,1,1,3,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,5,5,2,1,2, ,1,3,2,1,3,3,3,2,2,3,9,8,7,7,9,10,9,10,10,10,2,3,2,2,2,3,3,3,1,2,1,2,1,2,2,100,1,100,1,1,2,1,2,1,3,2,2,1,1,2,1,1,3,1,1,2,1,1,2,4,1,2,1,1,2,5,1,3,3,2,3,2,3,2,3,2,2,4,2,1,1,6,2,3,2,3,2,3,2,2,2,3,1,1,3,3,3,2,3,2,2,1,2,2,3,1,1,1,1,1,2,1,2,1,1,2,1,2, ,2,1,2,47,4,1,4,1,1, ,1,11,1,2,13,1,3,1,2,1,220,220,100,100,7,5,1
822,1,1,1,2,1,1,1,1,98,2,1,1,1,1,2,1,2,1,1,1,1,1,98,4,4,98,1,98,5,5,98,1,2, ,1,3,3,2,3,98,98,98,98,98,98,98,98,98,98,98,98,10,10,10,98,98,98,98,98,98,98,98,98,4,98,2,98,2,1,100,5,100,4,4,98,1,98,1,98,2,1,1,1,1,1,1,1,1,1,1,98,98,1,4,2,1,1,1,98,5,1,98,98,98,98,98,98,98,3,1,1,1,1,1,1,1,98,98,1,3,1,2,1,1,1,4,1,1,4,98,98,98,98,98,2,98,98,98,98,1,1,1,1,1,98,98,98,98,98,98,2,1, ,98,98,98,50,4,2,1,0,2,2, , , ,3, ,1,2,1,2,1,50,50,100,100,1,1,1
809,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,3,2,3,1,3,2,1,2,3,5,5,2,2,2, ,1,3,3,1,4,3,3,3,2,4,6,5,8,4,7,5,6,6,7,6,2,2,1,2,2,4,2,1,2,2,1,2,2,1,3,100,4,100,2,2,2,2,2,3,2,1,3,2,3,3,2,1,2,2,3,2,2,1,1,4,6,1,2,1,3,5,1,3,3,3,2,3,2,3,3,4,4,1,2,2,1,6,3,2,3,2,2,3,2,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,3,2,1,3,2,2, ,1,2,2,67,6,1,4,1,1, ,1,2,2,2,13,1,2,1,3,1,1000,1000,100,100,10,10,1
13,1,1,1,2,1,1,2,1,4,2,2,1,1,1,1,1,2,1,1,2,1,2,2,3,1,1,98,2,5,5,1,1,1,4,1,3,1,5,3,1,3,3,3,2,9,5,8,98,1,98,2,9,9,9,98,98,98,98,98,98,98,98,2,1,3,3,1,2,1,100,2,100,2, ,2,1,2,2,4,1,1,1,1,2,2,2,4,2,4,4,1,1,5,4,6,2,2,2,1,5,1,1,1,3,98,3,4,1,3,2,2,1,1,3,1,3,4,4,1,2,1,4,3,2,1,1,3,3,4,3,3,3,3,4,2,3,2,98,98,1,1,2,2,1,1,4,4,2,2,1,2,2, ,98,98,98,25,2,1,4,1,1, ,1,2,2,1, ,1,3,1,3,3,120,300,100,100,2,7,1
891,1,1,1,2,1,1,2,2,3,2,1,1,1,2,2,98,97,1,1,1,1,5,98,4,4,98,98,3,5,5,3,3,2, ,1,3,3,1,3,3,3,3,4,3,98,98,98,98,98,98,98,10,7,10,2,3,2,2,2,2,3,2,2,3,3,3,3,3,1,100,5,100,1,3,3,2,3,3,3,2,3,2,2,1,1,1,2,1,1,1,98,1,2,4,6,2,2,2,1,5,1,2,3,3,3,2,2,3,3,2,1,2,2,4,1,6,2,3,3,3,3,2,2,1,2,1,1,1,1,2,2,2,3,3,2,3,2,2,3,1,1,98,1,98,3,3,4,2,2,3,2,2, ,2,2,3,29,2,1,3,1,1, ,1,12,1,2,3,1,1,1,3,1,200,300,100,100,5.5,7,1
976,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2,1,3,2,3,2,1,1,1,1,2,2,5,5,2,1,2, ,1,3,3,4,3,99,99,4,3,1,9,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,100, ,100, , ,2,4,4,98,3,3,4,2,3,2,2,1,1,2,1,1,1,1,2,6,5,1,1,1,2,5,1,2,3,2,2,1,1,4,3,1,1,3,3,3,3,1,1,2,3,2,2,1,1,1,1,1,1,1,1,2,3,2,1,2,1,1,2,1,2,1,2,1,1,1,3,3,3,1,1,3,2,1, ,1,2,3,39,3,1,4,1,1, ,2,5,2,2,13,1,1,1,3,1,500,500,100,100,10,9,1
1016,1,1,1,2,1,2,1,1,3,2,1,1,2,98,2,3,2,3,3,4,5,5,2,2,2,1,2,3,5,5,3,2,2, ,1,3,1,4,2,4,4,4,4,2,5,96,96,96,2,96,2,10,10,10,1,1,2,2,3,2,2,3,3,3,1,1,1,2,1,100,1,100,4,2,1,1,1,1,3,2,2,2,2,2,1,1,4,1,1,1,98,1,2,4,6,1,2,1,2,5,1,2,1,1,1,1,1,2,4,1,1,2,1,1,1,1,2,4,3,3,3,2,1,1,1,1,2,3,4,1,3,1,1,1,1,1,2,3,4,1,1,1,3,1,4,4,4,2,2,4,2,2, ,1,2,1,45,4,1,3,1,2,1, , , ,2,13,1,3,1,1,1,200,300,100,100,5.5,7,1
1270,1,1,1,2,2,1,2,1,2,2,1,1,1,1,98,98,98,1,2,1,1,4,2,3,3,2,3,3,5,5,2,2,2, ,1,3,3,2,3,3,3,3,1,3,6,7,5,7,8,7,4,8,9,5,1,3,2,2,3,2,4,2,2,4,4,1,1,4,1,100,2,100,1,3,4,2,4,4,3,2,3,2,2,2,2,2,4,2,2,2,1,1,2,4,2,2,2,1,2,1,1,1,1,1,4,4,1,4,3,1,1,2,2,2,2,1,1,3,1,3,1,4,3,3,3,3,3,1,4,2,2,1,2,2,2,2,1,2,3,1,1,1,2,1,2,3,3,2,2,3,2,2, ,4,4,2,35,3,1,4,1,1, ,1,12,1,1, ,1,2,1,1,1,180,180,100,100,5.5,3,1
21,1,1,1,2,2,1,2,1,3,2,1,1,3,2,2,1,2,2,2,3,2,3,2,3,3,1,2,2,3,5,98,98,2, ,1,3,3,4,3,3,98,98,98,2,98,98,98,98,98,98,98,98,98,5,1,3,3,2,98,98,98,98,2,3,3,2,2,2,98,100, ,100, , ,4,2,4,3,2,1,2,2,2,2,1,1,1,3,3,3,98,1,2,5,6,2,2,2,2,5,1,3,3,3,3,3,2,3,3,1,2,3,1,1,1,1,3,3,2,3,2,3,2,2,2,3,2,3,3,3,3,3,2,3,3,3,98,98,98,1,1,1,1,3,98,98,98,98,98,3,2,1, ,98,98,98,50,4,1,2,1,1, ,2,7,2,2,13,1,1,1,3,1,100,100,100,100,2,1,1
719,1,1,1,2,2,1,2,1,98,2,2,1,1,1,1,98,2,1,2,3,1,4,2,3,2,1,3,1,5,5,2,1,2, ,1,3,3,4,3,4,2,3,2,1,95,5,98,5,8,7,98,9,8,8,2,4,98,2,1,4,4,4,1,2,2,1,1,2,3,100,2,100,99,1,3,1,2,98,2,98,2,1,1,1,1,1,4,1,1,4,1,1,2,6,4,2,2,2,3,5,1,1,2,2,2,3,2,2,2,1,1,2,2,1,1,1,3,3,1,2,98,2,1,2,1,2,3,3,4,3,3,3,2,2,2,2,1,3,2,1,1,1,1,1,2,4,3,1,1,1,2,2, ,2,2,2,44,3,1,5,1,2,1, , , ,2,4,1,1,1,2,1,140,400,100,100,3,8,1
572,1,1,1,2,2,2,3,1,4,2,1,1,1,2,2,1,98,1,2,2,1,1,1,1,1,1,1,1,5,5,1,1,1,3,1,3,3,1,3,3,3,2,2,1,96,96,96,96,96,96,96,7,7,7,3,4,4,2,1,4,4,4,2,2,2,2,2,4,1,100,2,100,2,2,2,1,2,1,2,1,1,2,1,3,1,1,4,2,4,2,1,1,1,4,1,2,2,1,2,5,1,2,4,4,3,2,4,4,3,1,1,2,2,4,1,6,3,4,1,2,1,98,2,2,2,4,2,2,4,1,2,1,1,1,3,1,2,3,2,1,1,1,1,1,2,2,4,2,2,1,2,1, ,2,3,1,26,2,1,3,1,1, ,1,10,2,2,13,1,1,1,3,1,350,500,100,100,9,9,1
